Student_ID,Round,Category,Difficulty_Level,Keywords,Correctness
660e224f2577d04ccfbecc71,1,Organic,Easy, alcohol,0
660e224f2577d04ccfbecc71,1,Organic,Medium," CH3CH2CHO ,HCHO",0
660e224f2577d04ccfbecc71,1,Organic,Hard,"increasing ,acid",0
660e224f2577d04ccfbecc71,1,Inorganic,Easy,"s-block ,Group I , Group II ,periodic table",1
660e224f2577d04ccfbecc71,1,Inorganic,Easy,"Electron configuration, Chromium",1
660e224f2577d04ccfbecc71,1,Inorganic,Medium," Heating, Nitrites, Nitrate compounds, NO? ",0
660e224f2577d04ccfbecc71,1,Physical,Medium," relative molecular mass, temperature, ideally behaving gas,pressure",1
660e224f2577d04ccfbecc71,1,Physical,Medium,"relative atomic mass,gas,temperature",0
660e224f2577d04ccfbecc71,1,Physical,Hard,"gas,temperature , pressure,volume",1
661e3d0b1741a36959ce1624,1,Organic,Medium,"organic ,ammonia,P2O5,alkyl cyanide",1
661e3d0b1741a36959ce1624,1,Organic,Hard,"Butanone,Dehydrogenation,Butan-2-ol,Oxidation,Butan-1-ol,Hydrogenation,Butanoic acid,Reduction,Butanoyl chloride",0
661e3d0b1741a36959ce1624,1,Organic,Easy, alcohol,1
661e3d0b1741a36959ce1624,1,Inorganic,Hard,"Br?,CCl?,Iodide,Shaken,CCl? ,layer",1
661e3d0b1741a36959ce1624,1,Inorganic,Medium,"Bleaching powder,Ca(OCl)?,Heating,Gas",0
661e3d0b1741a36959ce1624,1,Inorganic,Medium,"ion ,geometry",1
661e3d0b1741a36959ce1624,1,Physical,Medium,initial rate,0
661e3d0b1741a36959ce1624,1,Physical,Medium,"ideal gas,real gas,compressibility",1
661e3d0b1741a36959ce1624,1,Physical,Hard,"weak monobasic acids,titration,concentrations,solution",1
661e3d581741a36959ce162a,1,Organic,Hard," organic compound, combustion, CO2, H2O, NH3, deduction",1
661e3d581741a36959ce162a,1,Organic,Hard,"butanone, synthesis, dehydrogenation, oxidation, hydrogenation, reduction, organic chemistry",1
661e3d581741a36959ce162a,1,Organic,Hard,"bromination, FeBr3, NaNH2, acetyl chloride, NaBH4, ethanol, molecular formula, structural identification",0
661e3d581741a36959ce162a,1,Inorganic,Medium,"Hybridization, sp³, Compounds",1
661e3d581741a36959ce162a,1,Inorganic,Medium,"Hydrolysis,Covalent chlorides,Acidic solution,Weak acid and,weak base,Strong acid,Giant covalent molecular structure",1
661e3d581741a36959ce162a,1,Inorganic,Easy,"group 14 ,group 15, periodic table",1
661e3d581741a36959ce162a,1,Physical,Medium,"first order reaction, concentration decrease, time, percentage reduction",1
661e3d581741a36959ce162a,1,Physical,Medium,"ethyne, ideal gas, STP, calcium carbide, preparation, volume, molarity, stoichiometry",0
661e3d581741a36959ce162a,1,Physical,Hard," gas, moles, temperature, pressure, variable volume, vessel, heating",0
661e3da01741a36959ce1630,1,Organic,Medium," (CH3)3CCOOCH ,CHCH2COOH ,Cl2CHCOOH , ICH2COOH,acid",0
661e3da01741a36959ce1630,1,Organic,Medium,"C6H5COCH2CH3 ,C6H5CH2CH2CH3",0
661e3da01741a36959ce1630,1,Organic,Medium,"butanedioic acid, properties, isomerism, liberates CO2, NaHCO3, decolorizes Br2 water, reacts with LiAlH4, butane-1,4-diol",0
661e3da01741a36959ce1630,1,Inorganic,Easy,"Metalloid, Elements",1
661e3da01741a36959ce1630,1,Inorganic,Easy,Al2O3,1
661e3da01741a36959ce1630,1,Inorganic,Easy,"HNO3,Copper,gas",1
661e3da01741a36959ce1630,1,Physical,Medium,"ideal gas,real gas,compressibility",1
661e3da01741a36959ce1630,1,Physical,Medium,"Aluminium, aqueous sodium hydroxide, hydrogen gas, liberation",1
661e3da01741a36959ce1630,1,Physical,Hard," gas, moles, temperature, pressure, variable volume, vessel, heating",0
661e3dc01741a36959ce1634,1,Organic,Hard," reagents, distinguish, CH3CH2CHO, HCHO, chemical tests",0
661e3dc01741a36959ce1634,1,Organic,Easy,alcohol,1
661e3dc01741a36959ce1634,1,Organic,Medium,"conversion, C6H5CH2CH2CH3, C6H5COCH2CH3, reagents, reactions",0
661e3dc01741a36959ce1634,1,Inorganic,Hard,"inorganic, dilute HCl, colourless gas, colluded solution, decolourises KMnO4, HCl, KI, white precipitate, ",0
661e3dc01741a36959ce1634,1,Inorganic,Easy,"oxidized ,MnO2",1
661e3dc01741a36959ce1634,1,Inorganic,Medium,"atomic number,increases,F2,I2",0
661e3dc01741a36959ce1634,1,Physical,Medium,"Aluminium, aqueous sodium hydroxide, hydrogen gas, liberation",0
661e3dc01741a36959ce1634,1,Physical,Hard,"oxygen collection, downward displacement of water, temperature, pressure, drying, saturated vapor pressure",0
661e3dc01741a36959ce1634,1,Physical,Easy,"gas law, pressure, volume, constant temperature",1
660e224f2577d04ccfbecc71,2,Organic,Easy,"phenol, bromine, aqueous KOH, formaldehyde, aqueous KHCO3",0
660e224f2577d04ccfbecc71,2,Organic,Hard,"solubility, water, alcohols, aldehydes, chlorides, increasing order",0
660e224f2577d04ccfbecc71,2,Organic,Medium,"compounds, reduction, LiAlH4, organic chemistry",0
660e224f2577d04ccfbecc71,2,Inorganic,Medium,"HClO4,anhydride",1
660e224f2577d04ccfbecc71,2,Inorganic,Medium,"conc.HCl,KMnO4,reaction",0
660e224f2577d04ccfbecc71,2,Inorganic,Easy," s-block ,Group I,Group II,periodic table",1
660e224f2577d04ccfbecc71,2,Physical,Easy,"system, lowest energy state, entropy, enthalpy, Gibbs free energy, spontaneity",1
660e224f2577d04ccfbecc71,2,Physical,Hard,"sodium amalgam, reaction with water, liberated gas, volume measurement, temperature, ideal gas behavior, relative molar masses, mole fraction",0
660e224f2577d04ccfbecc71,2,Physical,Hard,"temperature, pressure, gas density, relative atomic masses,  N2, He, C, N, O, F",0
661e3d0b1741a36959ce1624,2,Organic,Medium,"conversion, organic chemistry, suitable reagent",1
