Student_ID,Question,Round,Category,Difficulty_Level,Keywords,Correctness
660e224f2577d04ccfbecc71,"Which one of the following statements is true for alcohols, in general?",1,Organic,Easy, alcohol,0
660e224f2577d04ccfbecc71,Which one of the following reagents could be used to distinguish chemically between CH3CH2CHO and HCHO?,1,Organic,Medium," CH3CH2CHO ,HCHO",0
660e224f2577d04ccfbecc71,"Which arrangement of compounds given below, gives the correct increasing order of acid strength.",1,Organic,Hard,"increasing ,acid",0
660e224f2577d04ccfbecc71,Which of the following statements is true with regard to s-block elements (Group I. Li to Cs and Group II. Be to Ba) in the periodic table?,1,Inorganic,Easy,"s-block ,Group I , Group II ,periodic table",1
660e224f2577d04ccfbecc71,What is the electron configuration of chromium (Cr)?,1,Inorganic,Easy,"Electron configuration, Chromium",1
660e224f2577d04ccfbecc71,Which of the following compounds gives NO? on heating?,1,Inorganic,Medium," Heating, Nitrites, Nitrate compounds, NO? ",0
660e224f2577d04ccfbecc71,"An ideally behaving gas of relative molecular mass M is kept at a temperature of T under a pressure of P. The density of the gas is,",1,Physical,Medium," relative molecular mass, temperature, ideally behaving gas,pressure",1
660e224f2577d04ccfbecc71,"At a temperature of 300 K and under a pressure of 1 atmosphere, which is the gas that is most likely to have a density nearest to that of N2?(relative atomic masses : He=1, C=12, N=14, O= 16, F = 19)",1,Physical,Medium,"relative atomic mass,gas,temperature",0
660e224f2577d04ccfbecc71,"1 mol of a gas at 27°C and under a certain pressure, is kept inside in vessel of variable volume. Another 1.5 mol of the same gas was introduced to the vessel and it was heated to a certain temperature.",1,Physical,Hard,"gas,temperature , pressure,volume",1
661e3d0b1741a36959ce1624,On heating the product obtained from the reaction of an organic compound X with excess ammonia Y was obtained. The compound Y when heated with P2O5 formed an alkyl cyanide. Which of the following is likely to be X?,1,Organic,Medium,"organic ,ammonia,P2O5,alkyl cyanide",1
661e3d0b1741a36959ce1624,"A = Benzene acid, B = Ethanoic acid, C =Acetone, D = Ethanol. Which of the following represent the correct increasing order of boiling points of the corresponds A, B, C and D?",1,Organic,Hard,"Butanone,Dehydrogenation,Butan-2-ol,Oxidation,Butan-1-ol,Hydrogenation,Butanoic acid,Reduction,Butanoyl chloride",0
661e3d0b1741a36959ce1624,"Which one of the following statements is true for alcohols, in general?",1,Organic,Easy, alcohol,1
661e3d0b1741a36959ce1624,"when Br2 and CCl4 are added to a solution of an Iodide and shaken,the CCl4 layer is ",1,Inorganic,Hard,"Br?,CCl?,Iodide,Shaken,CCl? ,layer",1
661e3d0b1741a36959ce1624,When bleaching powder is heated in the presence of Ca(OCl)2 the gas evolved is ,1,Inorganic,Medium,"Bleaching powder,Ca(OCl)?,Heating,Gas",0
661e3d0b1741a36959ce1624, The geometry of CLO?? ion is ,1,Inorganic,Medium,"ion ,geometry",1
661e3d0b1741a36959ce1624,"Below are the shapes of graphs that can be obtained from initial
rate experiments.
The order of the reaction can be deduced by drawing the
relevant graphs.
The correct statement about the above graph is,",1,Physical,Medium,initial rate,0
661e3d0b1741a36959ce1624,"The false statement regarding the compressibility of an ideal gas and a real gas is,",1,Physical,Medium,"ideal gas,real gas,compressibility",1
661e3d0b1741a36959ce1624,HA and HB are two weak monobasic acids with concentrations of 0.10 mol dm^-3. Their dissociation constants are Ka1 and Ka2 respectively (Ka1 < Ka2). 25.00 cm^3 of each of these solutions are taken into separate titration flasks and titrated with 0.10 mol dm^-3 Ba(OH)2 solution. The graph showing the variation of pH values in the two flasks is: [Insert graph here],1,Physical,Hard,"weak monobasic acids,titration,concentrations,solution",1
661e3d581741a36959ce162a,"Organic compound A contain C,H and N only.The complete combution of 0.88g of A gave 1.76g of CO2 and 1.08g of H2O.In separate experiments,0.88g of A gave 0.34g of NH3 (C=12.0,H=1.0,N=13.0,0=16)Which of the following statements is ,most apprpriate deduction?",1,Organic,Hard," organic compound, combustion, CO2, H2O, NH3, deduction",1
661e3d581741a36959ce162a,"Butanone can be obtained as follows, (a)Dehychogenation of butan-2-ol (b) Oxidation of butan - 1 - ol (c) Hydrogenation of butanoic acid (d) Reduction of butanoyichloride",1,Organic,Hard,"butanone, synthesis, dehydrogenation, oxidation, hydrogenation, reduction, organic chemistry",1
661e3d581741a36959ce162a,"Compound A (C7H6O2) undergoes a series of reactions as follows:

Reaction with bromine in the presence of FeBr3 yields a product B (C7H5Br2O).
Product B reacts with NaNH2 to give compound C (C7H5NH2).
Compound C reacts with acetyl chloride to form compound D (C9H9NO).
Compound D, upon treatment with sodium borohydride (NaBH4) in ethanol, undergoes reduction to form compound E (C9H11NO).
Identify the structures of compounds A and E.",1,Organic,Hard,"bromination, FeBr3, NaNH2, acetyl chloride, NaBH4, ethanol, molecular formula, structural identification",0
661e3d581741a36959ce162a,"Among the following compounds, which one exhibits sp³ hybridization?",1,Inorganic,Medium,"Hybridization, sp³, Compounds",1
661e3d581741a36959ce162a,"The details of the products obtained from the hydrolysis of 3 covalent chlorides A, B, and C are as follows
A – The solution from hydrolysis is acidic.
B – Hydrolysis gives a weak acid and a weak base.
C – Hydrolysis yields a compound with a strong acid and a giant covalent molecular structure.
A, B, and C chlorides respectively,",1,Inorganic,Medium,"Hydrolysis,Covalent chlorides,Acidic solution,Weak acid and,weak base,Strong acid,Giant covalent molecular structure",1
661e3d581741a36959ce162a,Which of the following statements is correct regarding the group 14 and 15 of the periodic table?,1,Inorganic,Easy,"group 14 ,group 15, periodic table",1
661e3d581741a36959ce162a,"The reaction A ? B+C is a first order reaction. It takes 30 minutes to decrease the concentration
of A by 75%. Time taken to reduce the concentration by 98.4375 % , in minutes is",1,Physical,Medium,"first order reaction, concentration decrease, time, percentage reduction",1
661e3d581741a36959ce162a,It has become necessary to prepare 1120 ml of ethyne of s. t. p. It ethyne behave as an ideal gas how much of calcium carbide is necessary for this purpose? (Ca=40 ; C=12),1,Physical,Medium,"ethyne, ideal gas, STP, calcium carbide, preparation, volume, molarity, stoichiometry",0
661e3d581741a36959ce162a,"1 mol of a gas at 27°C and under a certain pressure, is kept inside in vessel of variable volume. Another 1.5 mol of the same gas was introduced to the vessel and it was heated to a certain temperature.",1,Physical,Hard," gas, moles, temperature, pressure, variable volume, vessel, heating",0
661e3da01741a36959ce1630,a) (CH3)3CCOOCH        b)CHCH2COOH      c)Cl2CHCOOH       d)  ICH2COOH          The acidic strength of the above acids decreases as follows.,1,Organic,Medium," (CH3)3CCOOCH ,CHCH2COOH ,Cl2CHCOOH , ICH2COOH,acid",0
661e3da01741a36959ce1630,Which one of the following could be used to obtain C6H5COCH2CH3 from C6H5CH2CH2CH3?,1,Organic,Medium,"C6H5COCH2CH3 ,C6H5CH2CH2CH3",0
661e3da01741a36959ce1630,"Which of the following properties are consistent with the structure of buternedoic acid?  (A)It shows isomerism   (B) It liberates CO2 with a solution of NaHCO3  (C)It decolories Br2 water.   (D) It reacts with LiAIH4 to form butane - 1, 4-diol",1,Organic,Medium,"butanedioic acid, properties, isomerism, liberates CO2, NaHCO3, decolorizes Br2 water, reacts with LiAlH4, butane-1,4-diol",0
661e3da01741a36959ce1630,Which of the following elements is a metalloid?,1,Inorganic,Easy,"Metalloid, Elements",1
661e3da01741a36959ce1630,Which of the following statement of Al2O3 is not completely correct,1,Inorganic,Easy,Al2O3,1
661e3da01741a36959ce1630,When Copper reacts with conc.HNO3 the gas produced is ,1,Inorganic,Easy,"HNO3,Copper,gas",1
661e3da01741a36959ce1630,"The false statement regarding the compressibility of an ideal gas and a real gas is,",1,Physical,Medium,"ideal gas,real gas,compressibility",1
